"Student Username",Date,Lesson,WPM," Accuracy",Errors
tails,06/17/2024,"1. J and F keys",37,93%,4
tails,06/17/2024,"2. K and D keys",44,93%,4
tails,06/17/2024,"3. JFKD Practice",34,96%,3
tails,06/17/2024,"4. L and S keys",39,93%,4
tails,06/17/2024,"5. JFKDLS Practice",33,85%,13
tails,06/17/2024,"6. A and ; keys",36,93%,5
tails,06/17/2024,"7. Full Home Row",28,73%,29
tails,06/17/2024,"8. Right Hand Home Row",47,85%,9
tails,06/17/2024,"9. Left Hand Home Row",50,94%,4
tails,06/17/2024,"11. The I key",47,92%,13
